Lane,Time,Diff From Season's Best
1,21.61,0.791599999999999
1,20.7,0.03640000000000043
1,20.3,0.047999999999998266
1,20.5,0.30749999999999744
1,28.8,8.415600000000001
1,21.33,0.4065000000000012
1,20.49,0.26759999999999806
1,20.66,0.550499999999996
1,20.56,0.0259999999999998
1,21.87,0.0
1,20.91,0.14880000000000493
1,20.72,0.5183999999999997
1,20.42,0.1963000000000008
1,20.33,0.0
1,20.32,0.35800000000000054
1,20.56,0.5600000000000023
1,20.82,0.2947999999999986
1,21.09,0.7995999999999981
1,20.56,0.2807999999999993
1,20.51,0.21039999999999992
1,20.33,0.15530000000000044
1,20.77,0.6004000000000005
1,20.97,0.0
1,20.9,0.15270000000000294
1,21.93,0.07000000000000028
1,21.77,0.0
1,20.86,0.6110999999999969
1,22.58,0.3796999999999997
1,20.94,0.5925000000000047
1,20.88,0.38319999999999865
1,20.41,0.342800000000004
1,20.22,0.0
1,20.88,0.2436000000000007
1,21.42,0.8132000000000019
1,20.86,0.5068000000000019
1,20.83,0.299199999999999
1,20.65,0.17439999999999856
1,21.06,0.5223999999999975
1,20.71,0.17849999999999966
1,20.36,0.28800000000000026
1,20.87,0.7911000000000001
1,20.87,0.0019000000000026773
1,20.7,0.3988000000000014
1,21.69,0.37079999999999913
1,20.51,0.346700000000002
1,21.36,0.5890999999999984
2,21.47,0.8031000000000006
2,20.24,0.0
2,20.47,0.4239999999999995
2,21.38,0.4379999999999953
2,20.85,0.10350000000000037
2,20.67,0.5393000000000043
2,20.89,0.2873000000000019
2,20.46,0.07840000000000202
2,20.24,0.5304999999999964
2,20.72,0.661999999999999
2,21.19,0.0
2,20.45,0.08440000000000225
2,20.2,0.0
2,20.13,0.22560000000000002
2,21.34,0.9983000000000004
2,20.86,0.9215000000000018
2,20.47,0.1892999999999958
2,20.64,0.054400000000001114
2,20.38,0.1565000000000012
2,20.49,0.2184999999999988
2,20.95,0.05600000000000094
2,20.24,0.0
2,20.59,0.22279999999999944
2,20.65,0.5779999999999994
2,21.2,0.0
2,21.24,0.0
2,20.89,0.2676000000000016
2,21.82,0.0
2,21.57,0.0
2,20.45,0.28749999999999787
2,22.29,0.36650000000000205
2,23.11,0.3572999999999986
2,20.55,0.33759999999999835
2,20.08,0.13989999999999725
2,20.5,0.7220000000000013
2,20.26,0.17840000000000344
2,20.43,0.26080000000000325
2,21.13,0.3295999999999992
2,21.44,0.5655999999999999
2,20.54,0.15039999999999765
2,20.59,0.49520000000000053
2,20.83,0.41689999999999827
2,20.4,0.18079999999999785
2,20.3,0.0365000000000002
2,20.82,0.5640000000000001
2,20.74,0.6670999999999978
2,20.8,0.18710000000000093
2,20.55,0.6335000000000015
2,21.09,0.06530000000000058
2,20.34,0.4390999999999998
2,20.92,0.5750999999999991
3,21.13,0.370000000000001
3,20.65,0.19440000000000168
3,20.41,0.6309000000000005
3,20.61,0.6214999999999975
3,20.26,0.13000000000000256
3,20.27,0.0884999999999998
3,20.25,0.454699999999999
3,20.99,0.2632999999999974
3,20.31,0.15249999999999986
3,20.14,0.0
3,20.37,0.37200000000000344
3,20.72,0.0
3,20.58,0.3155000000000001
3,20.36,0.04840000000000089
3,20.4,0.2690999999999981
3,20.16,0.15880000000000294
3,20.08,0.23189999999999955
3,19.95,0.0
3,20.3,0.35320000000000107
3,20.87,0.591899999999999
3,20.51,0.39450000000000074
3,20.24,0.12519999999999598
3,20.44,0.3140000000000036
3,20.56,0.040500000000001535
3,20.56,0.35279999999999845
3,20.16,0.23199999999999932
3,20.91,0.17520000000000024
3,20.32,0.08520000000000039
3,20.77,0.3727000000000018
3,22.29,0.21249999999999858
3,21.51,0.1623999999999981
3,20.21,0.13189999999999813
3,21.47,0.0
3,22.64,0.4585000000000008
3,20.51,0.04210000000000136
3,20.68,0.2934999999999981
3,20.13,0.20670000000000144
3,20.22,0.20599999999999952
3,20.36,0.4559999999999995
3,20.48,0.24080000000000368
3,20.91,0.7096000000000018
3,20.47,0.0
3,20.88,0.3819999999999979
3,20.33,0.5502999999999965
3,20.17,0.3672000000000004
3,20.57,0.402000000000001
3,20.63,0.40229999999999677
3,21.0,0.35400000000000276
3,20.47,0.44480000000000075
3,20.88,0.509999999999998
3,20.75,0.129999999999999
3,20.44,0.29200000000000514
3,21.51,0.352800000000002
3,20.53,0.41350000000000264
3,20.74,0.21589999999999776
4,21.18,0.5211000000000006
4,20.62,0.47760000000000247
4,20.26,0.42079999999999984
4,20.59,0.4939999999999998
4,19.97,0.0
4,20.17,0.0
4,20.0,0.1247000000000007
4,20.81,0.17479999999999762
4,20.13,0.029999999999997584
4,20.29,0.12679999999999936
4,20.46,0.0
4,20.23,0.0
4,21.09,0.7968000000000011
4,20.12,0.28010000000000446
4,20.74,0.6074999999999982
4,20.65,0.6288000000000018
4,20.01,0.07530000000000214
4,20.18,0.41320000000000334
4,20.56,0.07879999999999754
4,20.27,0.2697000000000003
4,20.13,0.23199999999999577
4,20.3,0.15080000000000027
4,20.78,0.7148000000000039
4,20.4,0.3733000000000004
4,20.17,0.28200000000000003
4,20.3,0.038100000000003575
4,21.06,0.8034999999999997
4,20.39,0.4067000000000007
4,21.32,0.37329999999999686
4,19.9,0.16189999999999571
4,21.36,0.0
4,23.27,0.3988000000000014
4,20.45,0.19890000000000185
4,20.21,0.007500000000000284
4,20.01,0.10200000000000387
4,20.37,0.3459000000000003
4,20.35,0.0
4,20.18,0.38429999999999964
4,20.3,0.3916000000000004
4,20.78,0.5707000000000022
4,20.27,0.347999999999999
4,20.36,0.0
4,20.58,0.39199999999999946
4,20.39,0.5222999999999978
4,20.43,0.3251999999999988
4,20.07,0.1819999999999986
4,20.56,0.7790999999999961
4,20.83,0.2458999999999989
4,20.24,0.4134999999999991
4,20.98,0.17680000000000007
4,20.14,0.1606999999999985
4,20.71,0.4244000000000021
5,20.85,0.9175000000000004
5,20.17,0.058099999999999596
5,20.17,0.10839999999999961
5,20.65,0.1042999999999985
5,19.97,0.0
5,20.02,0.040399999999998215
5,19.86,0.0
5,21.3,0.13800000000000168
5,19.83,0.0
5,19.85,0.0
5,20.11,0.39199999999999946
5,20.68,0.10290000000000177
5,19.89,0.35190000000000055
5,20.16,0.0
5,20.21,0.34909999999999997
5,20.21,0.0
5,20.16,0.262000000000004
5,19.92,0.05850000000000222
5,19.77,0.08310000000000173
5,20.2,0.19349999999999667
5,20.37,0.29520000000000124
5,20.33,0.2251999999999974
5,20.21,0.12080000000000268
5,20.17,0.0
5,20.24,0.27649999999999864
5,20.03,0.22040000000000148
5,20.68,0.0779999999999994
5,20.29,0.41869999999999763
5,20.97,0.0
5,21.38,0.0032999999999994145
5,21.29,0.014899999999997249
5,20.19,0.2690999999999981
5,21.12,0.12320000000000064
5,22.78,0.7073
5,20.48,0.6023999999999994
5,20.25,0.4067000000000007
5,20.46,0.3335000000000008
5,20.55,0.5046999999999997
5,20.03,0.004000000000001336
5,20.28,0.3069000000000024
5,20.62,0.43070000000000164
5,20.04,0.10549999999999926
5,20.29,0.05749999999999744
5,19.7,0.0
5,20.56,0.7208000000000006
5,20.27,0.0
5,20.18,0.3451999999999984
5,19.92,0.17480000000000118
5,20.06,0.19909999999999783
5,20.75,0.3451000000000022
5,20.35,0.32600000000000406
5,20.82,0.30079999999999885
5,19.98,0.14349999999999952
5,20.61,0.3099999999999987
6,20.79,0.47760000000000247
6,20.43,0.4281000000000006
6,20.46,0.5360000000000014
6,20.22,0.0
6,20.16,0.25319999999999965
6,20.01,0.2528000000000006
6,19.87,0.0832000000000015
6,20.39,0.0
6,19.72,0.18999999999999773
6,20.1,0.0
6,19.99,0.08919999999999817
6,20.39,0.09799999999999898
6,19.88,0.28190000000000026
6,19.8,0.28000000000000114
6,20.27,0.31909999999999883
6,19.92,0.0
6,19.88,0.13200000000000145
6,20.29,0.1883999999999979
6,19.65,0.20309999999999917
6,20.14,0.0
6,19.89,0.12959999999999994
6,20.3,0.3171999999999997
6,20.13,0.2563999999999993
6,20.52,0.14290000000000092
6,20.29,0.45449999999999946
6,19.65,0.07129999999999725
6,20.8,0.027999999999998693
6,20.62,0.4286999999999992
6,20.21,0.0
6,21.58,0.7112999999999978
6,19.98,0.09909999999999641
6,21.38,0.06010000000000204
6,22.72,0.6813000000000002
6,20.15,0.04999999999999716
6,19.84,0.0
6,19.65,0.1767000000000003
6,19.79,0.0359000000000016
6,20.07,0.31319999999999837
6,20.31,0.1203000000000003
6,20.51,0.7956000000000039
6,20.28,0.2579999999999991
6,20.25,0.34599999999999653
6,20.01,0.0
6,19.72,0.28719999999999857
6,20.44,0.46850000000000236
6,20.35,0.0
6,20.04,0.20519999999999783
6,23.35,3.6468000000000025
6,20.4,0.5543999999999976
6,20.61,0.12989999999999924
6,20.03,0.2035000000000018
6,20.88,0.39000000000000057
6,19.67,0.0
6,20.38,0.32760000000000034
7,20.33,0.3374999999999986
7,20.16,0.2303999999999995
7,20.55,0.4939999999999998
7,19.97,0.0
7,19.98,0.20120000000000005
7,20.33,0.48799999999999955
7,19.74,0.3146999999999984
7,21.27,0.23080000000000211
7,19.7,0.10999999999999943
7,20.06,0.24049999999999372
7,19.83,0.2784999999999975
7,20.86,0.0
7,20.25,0.3320000000000043
7,19.52,0.0
7,20.96,0.901600000000002
7,19.81,0.0
7,19.69,0.07280000000000086
7,19.5,0.0
7,20.11,0.0
7,20.05,0.0
7,20.04,0.057699999999996976
7,20.5,0.1491999999999969
7,20.01,0.04600000000000293
7,19.97,0.0
7,20.1,0.15449999999999875
7,19.99,0.2447999999999979
7,19.76,1.3880000000000017
7,20.46,0.025200000000001666
7,21.73,0.0
7,20.79,0.16749999999999687
7,21.59,0.0
7,20.72,0.23840000000000217
7,20.3,0.13680000000000092
7,20.4,0.0
7,19.79,0.27590000000000003
7,20.27,0.1323000000000043
7,20.19,0.29010000000000247
7,20.09,0.024699999999999278
7,20.8,0.5782999999999987
7,20.35,0.4825000000000017
7,20.33,0.5559999999999974
7,20.62,0.35989999999999966
7,20.27,0.4537000000000013
7,20.41,0.24040000000000106
7,20.45,0.32439999999999714
7,20.2,0.3083000000000027
7,21.36,0.41639999999999944
7,20.4,0.3260000000000005
7,20.09,0.4174999999999969
8,20.95,0.1659000000000006
8,20.65,0.11639999999999873
8,20.53,0.23799999999999955
8,20.37,0.34199999999999875
8,20.23,0.34119999999999706
8,20.21,0.0
8,20.53,0.39000000000000057
8,21.04,0.0
8,20.13,0.22010000000000218
8,20.31,0.35729999999999507
8,20.18,0.3191999999999986
8,20.88,0.25849999999999795
8,20.49,0.0
8,20.03,0.0
8,20.48,0.6190999999999995
8,20.38,0.0
8,20.43,0.42190000000000083
8,19.87,0.0
8,20.46,0.3807000000000009
8,20.24,0.03599999999999781
8,20.07,0.006500000000002615
8,20.24,0.0
8,19.81,0.0
8,20.28,0.08530000000000015
8,20.39,0.15930000000000177
8,20.15,0.25
8,20.64,0.0
8,20.63,0.00999999999999801
8,20.54,0.0
8,21.61,0.20279999999999987
8,21.59,0.002799999999997027
8,22.03,0.4277000000000051
8,20.27,0.0
8,19.99,0.0
8,20.2,0.3660000000000032
8,20.84,0.6519000000000013
8,20.63,0.4360999999999997
8,20.32,0.006000000000000227
8,20.42,0.40830000000000055
8,20.52,0.3724999999999987
8,20.36,0.34250000000000114
8,19.9,0.0
8,20.71,0.23610000000000042
8,20.85,0.1305000000000014
8,20.81,0.20039999999999836
8,20.9,0.2898999999999958
8,20.62,0.47400000000000375
8,21.31,0.32879999999999754
8,20.04,0.020699999999997942
8,20.98,0.8603999999999985
9,20.27,0.30630000000000024
9,20.21,0.2134999999999998
9,20.0,0.21050000000000324
9,20.51,0.0
9,20.25,0.0
9,20.18,0.050499999999999545
9,20.33,0.007699999999996265
9,20.32,0.0
9,19.88,0.0
9,21.23,0.26310000000000144
9,20.24,0.20349999999999824
9,20.68,0.4704999999999977
9,20.59,0.4753000000000007
9,20.41,0.12949999999999662
